일자,"회사채(무보증3년)AA-","CD수익률(91일)"
최고,5.736,4.03
최저,1.79,0.66
2026-06,4.482,2.9
2026-05,4.316,2.82
2026-04,4.07,2.82
2026-03,3.969,2.82
2026-02,3.718,2.78
2026-01,3.545,2.7
2025-12,3.502,2.84
2025-11,3.299,2.69
2025-10,3.028,2.55
2025-09,2.926,2.56
2025-08,2.914,2.51
2025-07,2.957,2.51
2025-06,2.98,2.57
2025-05,2.908,2.67
2025-04,2.98,2.74
2025-03,3.161,2.84
2025-02,3.206,2.95
2025-01,3.229,3.04
2024-12,3.236,3.35
2024-11,3.428,3.42
2024-10,3.486,3.43
2024-09,3.448,3.52
2024-08,3.418,3.5
2024-07,3.542,3.54
2024-06,3.708,3.6
2024-05,3.876,3.6
2024-04,3.974,3.57
2024-03,3.944,3.65
2024-02,4.053,3.69
2024-01,4.013,3.74
2023-12,4.076,3.83
2023-11,4.583,3.83
2023-10,4.827,3.82
2023-09,4.602,3.76
2023-08,4.5,3.7
2023-07,4.437,3.75
2023-06,4.356,3.75
2023-05,4.139,3.64
2023-04,4.072,3.5
2023-03,4.184,3.61
2023-02,4.274,3.52
2023-01,4.704,3.8
2022-12,5.302,4.02
2022-11,5.487,3.99
2022-10,5.436,3.69
2022-09,4.9,3.01
2022-08,4.227,2.79
2022-07,4.126,2.41
2022-06,4.233,1.99
2022-05,3.775,1.77
2022-04,3.631,1.63
2022-03,3.028,1.5
2022-02,2.873,1.5
2022-01,2.632,1.39
2021-12,2.41,1.27
2021-11,2.492,1.17
2021-10,2.302,1.08
2021-09,1.953,0.98
2021-08,1.838,0.77
2021-07,1.888,0.69
2021-06,1.913,0.66
